version,BM,BK,BN,TM,TN,M,K,N,avg_ms,gflops,correct,max_abs_diff
gemm_cpu,0,0,0,0,0,1024,1024,1024,4375.58,0.490788,true,0
gemm_sharedmemory_v1,32,0,32,0,0,1024,1024,1024,1.05784,2030.06,true,1.90735e-05
gemm_reg_v2,128,8,128,8,8,1024,1024,1024,0.867784,2474.68,true,1.90735e-05
gemm_reg_v2,128,16,128,8,8,1024,1024,1024,0.515592,4165.08,true,1.90735e-05
gemm_reg_v2,128,32,128,8,8,1024,1024,1024,0.505512,4248.14,true,1.90735e-05
gemm_reg_v3,128,8,128,8,8,1024,1024,1024,0.60516,3548.62,true,1.90735e-05
gemm_reg_v3,128,16,128,8,8,1024,1024,1024,0.402688,5332.87,true,1.90735e-05
gemm_reg_v3,128,32,128,8,8,1024,1024,1024,0.387368,5543.78,true,1.90735e-05
gemm_reg_v4,128,8,128,8,8,1024,1024,1024,0.215584,9961.24,true,1.90735e-05
gemm_reg_v5,128,8,128,8,8,1024,1024,1024,0.194968,11014.5,true,1.90735e-05
gemm_reg_v5_p,128,8,128,8,8,1024,1024,1024,0.195592,10979.4,true,1.90735e-05
gemm_reg_v5_p,128,16,128,8,8,1024,1024,1024,0.157976,13593.7,true,1.90735e-05
gemm_reg_v5_p,128,32,128,8,8,1024,1024,1024,0.156656,13708.3,true,1.90735e-05
gemm_reg_v5_swizzle,128,8,128,8,8,1024,1024,1024,0.194344,11049.9,true,1.90735e-05
gemm_reg_v6_1,128,8,128,8,8,1024,1024,1024,0.193784,11081.8,true,1.90735e-05
gemm_reg_v6_1,128,16,128,8,8,1024,1024,1024,0.153832,13959.9,true,1.90735e-05
gemm_reg_v6_1,128,32,128,8,8,1024,1024,1024,0.166632,12887.6,true,1.90735e-05
gemm_reg_v6_2,128,8,128,8,8,1024,1024,1024,0.192752,11141.2,true,1.90735e-05
gemm_reg_v6_2,128,16,128,8,8,1024,1024,1024,0.155072,13848.3,true,1.90735e-05
gemm_reg_v6_2,128,32,128,8,8,1024,1024,1024,0.145752,14733.8,true,1.90735e-05
gemm_cublas,0,0,0,0,0,1024,1024,1024,0.15088,14233.1,true,7.24792e-05
